Simulation run,Robot count,Picker count,Robot/Picker ratio,Total assist time (sec),Picker assist time(%),Picker move time (sec),Picker move time (%),Picker distance traveled (m),Picker wait time (sec),Picker wait time (%),Robot total operation  time (sec),Robot assist time (%),Robot move time (sec),Robot move time (%),Robot distance traveled (m),Robot wait time (sec),Robot wait time (%),Robot total time queuing (sec),Robot time queuing percentage,Robot total time waiting in traffic (sec),Robot total time waiting in traffic (perc),Robot get pallet time (sec),Robot drop pallet time (sec),Robot get/drop pallet time percentage,Robot Time spent waiting for locations to open (sec),Robot Time spent waiting for locations to open (perc),Orders handled,Simulation duration,Realtime duration,Robot price,Robot price (full day),Picker price,Total Price,Savings percentage,Throughput factor,,Robot price/day,Picker price/day(24h),Current number of pickers/per day,Estimated current price ,current duration
1,5,5,1,122630,14.41%,398816.1065,46.87%,548932.5908,329511.6655,38.72%,844959.9781,14.51%,529005.5101,62.64%,386226.6424,100870.9928,11.94%,3520.233659,0.67%,3801.028905,0.72%,46178.0683,46010.34932,10.91%,265.0576455,0.05%,840,48:00:00,00:17:42,5000.00,5000.00,10500.00,15500.00,26.19,0.50,,500,1050,20,21000,24:00:00
2,5,10,0.5,122570,7.16%,643287.3397,37.58%,935005.8234,945910.7964,55.26%,845648.8796,14.49%,529079.0607,62.60%,388606.3357,101487.2578,12.00%,3185.34313,0.60%,3851.046373,0.73%,46201.58315,46014.75065,10.90%,296.2272896,0.06%,841,48:00:00,00:15:06,5000.00,5000.00,21000.00,26000.00,-23.81,0.50,,,,,,
3,5,15,0.333333333,121580,4.72%,680362.2792,26.41%,991986.6819,1773790.919,68.87%,846061.0573,14.37%,526795.6927,62.30%,387133.8772,105676.2928,12.49%,3828.163397,0.73%,3677.35376,0.70%,45966.33001,45743.70459,10.84%,299.0372458,0.06%,836,48:00:00,00:12:17,5000.00,5000.00,31500.00,36500.00,-73.81,0.50,,,,,,
4,5,17,0.294117647,121470,4.16%,690439.5681,23.63%,1008358.003,2109360.911,72.21%,846125.8776,14.36%,522709.0918,61.81%,384902.2941,109935.3165,12.99%,3486.062733,0.67%,3627.661763,0.69%,45961.39306,45748.55568,10.84%,301.5205538,0.06%,836,48:00:00,00:12:44,5000.00,5000.00,35700.00,40700.00,-93.81,0.50,,,,,,
5,5,19,0.263157895,121090,3.71%,693120.9392,21.22%,1011933.52,2452508.937,75.08%,846009.2382,14.31%,524177.4448,62.00%,385060.1957,109138.345,12.90%,3552.887995,0.68%,3866.35371,0.74%,45681.79528,45558.20943,10.78%,363.4436625,0.07%,832,48:00:00,00:12:27,5000.00,5000.00,39900.00,44900.00,-113.81,0.50,,,,,,
6,5,20,0.25,121110,3.52%,694675.7086,20.20%,1017322.675,2623912.589,76.28%,846042.4541,14.31%,523104.134,61.89%,383934.3254,110102.8636,13.01%,3516.65537,0.67%,3764.06517,0.72%,45686.45183,45544.90475,10.78%,494.0998548,0.09%,832,48:00:00,00:12:41,5000.00,5000.00,42000.00,47000.00,-123.81,0.50,,,,,,
7,5,25,0.2,120900,2.81%,702053.435,16.31%,1022479.98,3480721.769,80.88%,846145.9839,14.29%,519117.75,61.39%,381732.6696,114757.1463,13.56%,2848.774382,0.55%,3768.821564,0.73%,45626.66009,45423.7548,10.76%,320.6727091,0.06%,830,48:00:00,00:12:46,5000.00,5000.00,52500.00,57500.00,-173.81,0.50,,,,,,
8,10,5,2,137960,23.31%,276218.9793,46.68%,359791.9052,177547.9205,30.01%,1186876.232,11.62%,629480.5358,53.14%,460526.4456,315813.0264,26.61%,7283.411771,1.15%,6476.668056,1.03%,51205.80812,51211.58931,8.63%,1205.272186,0.19%,936,33:37:47,00:17:54,7006.19,10000.00,7356.50,14362.69,31.61,0.71,,,,,,
9,10,10,1,137960,13.99%,490839.2483,49.77%,675092.9649,357351.5765,36.24%,979331.8275,14.09%,633950.7604,64.80%,468298.7316,104351.4775,10.66%,8051.628026,1.27%,7581.823987,1.19%,51206.29328,51211.24813,10.46%,652.0481964,0.10%,936,27:51:25,00:22:06,5803.53,10000.00,12187.41,17990.94,14.33,0.86,,,,,,
10,10,15,0.666666667,137960,9.21%,721971.7326,48.19%,1044013.821,638133.5847,42.60%,989028.6869,13.95%,632703.3199,64.05%,467669.3509,115183.4619,11.65%,8768.566511,1.38%,7788.393434,1.23%,51198.51584,51205.03761,10.35%,778.3515387,0.12%,936,28:06:38,00:22:24,5856.37,10000.00,18447.55,24303.92,-15.73,0.85,,,,,,
